DOWNLOAD,Downloading...,
DOWNLOAD_NOTICE,Downloading data.<br>This may take a few minutes.<br>,
CONNECT,Connecting...,
INITIAL_DOWNLOAD_NOTICE1,Please wait...<br>,
INITIAL_DOWNLOAD_NOTICE2,<br><br>We recommend downloading over <color=245:218:147>Wi-Fi</color>.<br>,
INITIAL_DOWNLOAD_NOTICE3,We highly recommend it.,
INITIAL_DOWNLOAD_PLAY_BGM,<br><br>By playing while listening to the BGM<br>you can fully enjoy the world of FFBE.,
DOWNLOAD_CONF_TITLE,Data Download,
DOWNLOAD_CONF_MSG,Downloading new data.,
DOWNLOAD_CONF_MSG_TUTO,Downloading data during the tutorial.,
DOWNLOAD_CONF_SIZE,Size: <param=dl_size>,
DOWNLOAD_CONF_NOTE,If the download size exceeds 50MB，<br>we recommend using <color=245:218:147>Wi-Fi</color>.,
DOWNLOAD_CONFIRM_MESSAGE_EXPLAIN,Downloading required data.,
DOWNLOAD_CONFIRM_MESSAGE_EXPLAIN_WIFI,We recommend using <color=245:218:147>Wi-Fi</color>.,
DOWNLOAD_CONFIRM_EXCLUDE_MOVIE,Exclude movies,
DOWNLOAD_CONFIRM_INCLUDE_MOVIE,Include movies,
DOWNLOAD_CONFIRM_EXCLUDE_MOVIE_EXPLAIN,Downloads data excluding Summon and Limit Burst<br>CGI movies.<br>Saved movie data will be deleted，reducing<br>app size.,
DOWNLOAD_CONFIRM_INCLUDE_MOVIE_EXPLAIN,Downloads data including Summon and Limit Burst<br>CGI movies.,
CONNECTING,Connecting,
CONNECT_ERROR,A communication error has occurred.<br><br>Please play in an area with good reception. Press the button to reconnect.,
CONNECT_ERROR2,A communication error has occurred.<br><br>Please play in an area with good reception. Press the button to reconnect.,
FILE_CHECK,Checking files...,
DATA_UPDATE,Data has been updated.,
HOW_TO_PLAY,How to Play,
LAPIS,Lapis,
PAYMENT_LAPIS,Paid Lapis,
GIL,Gil,
FRIEND_POINT,Friend Points,
STAR_QUARTZ,Star Quartz,
EX_POINT,EX Points,
EXVIUS_POINT,EXVIUS Points,
POINT_UNIT,pt,
UNIT,Unit,
ITEM,Item,
FRIEND,Friend,
EQUIP,Equipment,
ABILITY_CRYSTAL,Ability,
MATERIAL,Material,
AWAKE_MATERIAL,Enhancement Material,
RECIPE,Recipe,
ABILITY,Ability,
MAGIC_KEY,Magic Key,
WAREHOUSE,Storage,
NOTHING,None,
SEX,Gender,
RARE_STAR,★,
DIA_SHORTAGE_TITLE,Not enough Lapis,
PAYMENT_DIA_SHORTAGE_TITLE,Not enough paid Lapis,
DIA_SHORTAGE_TEXT,Would you like to purchase Lapis?,
AD,AD,
YEAR,Year,
MONTH,Month,
DAY,Day,
HOUR,Hour,
MINUTES,Minutes,
SECOND,Second,
LATER,Later,
REST,Remaining,
RANKING_RANK,Rank,
RANK,Rank,
LESS_THAN,Less than,
PLUS,+,
MINUS,-,
MULTIPLE,×,
SLASH,/,
COLON,:,
BULLET_POINT,・,
THREE_DOT_LEADER,…,
NAME_UNKNOWN,???,
ARROW_LEFT,←,
ARROW_RIGHT,→,
STAMINA_FULL,NRG is full,
EMPTY_ITEM_FRAME,Empty item slot,
MENU,MENU,
TOTAL_GIL,Total Gil,
TOTAL_POINT,Total: ,
SORT_TYPE,Sort: ,
TAIL_OF_RECIPE_ITEM_NAME, (Craft Recipe),
ITEM_ALREADY_HAVE,Already obtained,
OPEN_PARENTHESIS,【,
CLOSE_PARENTHESIS,】,
INFORMATION,Latest News,
CBT_CLOSE_FUNCTION,This feature is not available during CBT.,
DONT_VISIBLE,Visible,
ITEM_NOTHING,You do not possess any items.,
MAGIC_NOTHING,You cannot use any magic.,
ABILITY_NOTHING,You cannot use any abilities.,
MATERIAL_NOTHING,You do not possess any materials.,
EQUIP_NOTHING,You do not possess any equipment.,
AC_NOTHING,You do not possess any abilities.,
FRIEND_NOTHING,You have no friends.,
FRIEND_REQUEST_NOTHING,You have no friend requests.,
ERROR_UNIT_OVER_CAP,Unit capacity exceeded.,
ERROR_OTHER_UNIT_OVER_CAP,Enhance/Sell unit capacity exceeded.,
ERROR_NORMAL_UNIT_OVER_MSG,Your <color=255:255:0>Unit capacity</color> is full.<br>Please expand your capacity or enhance/sell <color=255:255:0>units</color>.,
ERROR_OTHER_UNIT_OVER_MSG,Your <color=255:255:0>Enhance/Sell unit capacity</color> is full.<br>Please expand your capacity or enhance/sell <color=255:255:0>units</color>.,
ERROR_ITEM_OVER_CAP,Item capacity exceeded.,
ERROR_ITEM_OVER_MSG,Your <color=255:255:0>Item capacity</color> is full.<br>Please expand your capacity or sell <color=255:255:0>items</color>.,
ERROR_MATERIAL_ITEM_OVER_CAP,Material capacity exceeded.,
ERROR_MATERIAL_ITEM_OVER_MSG,Your <color=255:255:0>Material capacity</color> is full.<br>Please expand your capacity or sell <color=255:255:0>materials</color>.,
ERROR_EQUIP_ITEM_OVER_CAP,Equipment capacity exceeded.,
ERROR_EQUIP_ITEM_OVER_MSG,Your <color=255:255:0>Equipment capacity</color> is full.<br>Please expand your capacity or sell <color=255:255:0>equipment</color>.,
ERROR_AC_OVER_CAP,Ability capacity exceeded.,
ERROR_AC_OVER_MSG,Your <color=255:255:0>Ability capacity</color> is full.<br>Please expand your capacity or sell <color=255:255:0>abilities</color>.,
ERROR_VISIONCARD_OVER_CAP,Vision Card capacity exceeded.,
